序號,疵點,允差
1,漏眼,不接受
2,扭邊,不接受
3,縫邊不順,不接受
4,挑撞欠佳,不接受
5,起耳仔,不接受
6,袖夾起角,不接受
7,欠跳撞,不接受
8,散口,不接受
9,爆口,不接受
10,披損,不接受
11,哨牙,不接受
12,卷邊,不接受
13,藏止口,不接受
14,露止口,不接受
15,扭領,不接受
16,扭袖,不接受
17,扭側骨,不接受
18,扭髀,不接受
19,起珠,不接受
20,斷線,不接受
21,跳線,不接受
22,針孔,不接受
23,疏密不均,不接受
24,打褶,不接受
25,起皺,不接受
26,容缩不均,不接受
27,起扭,不接受
28,起谷,不接受
29,起山,不接受
30,不垂直,不接受
31,歪斜,不接受
32,彎曲,不接受
33,漏針,不接受
34,左右不對稱,不接受
35,長短,不接受
36,高低,
37,駁線,不接受
38,回針不良,不接受
39,落坑,不接受
40,雙針不均,不接受
41,反光,不接受
42,起貓須,不接受
43,止口不均,不接受
44,面露暗線,不接受
45,十字位不對,不接受
46,吊裡,不接受
47,墜裡,不接受
48,拉鍊頂露窿,不接受
49,樸脫落,不接受
50,樸起泡,不接受
51,樸膠外滲,不接受
52,錯（織帶/花邊/橡根）,不接受
53,漏（織帶/花邊/橡根）,不接受
54,散邊（織帶/花邊/橡根）,不接受
55,破損（織帶/花邊/橡根）,不接受
56,鬆脫（織帶/花邊/橡根）,不接受
57,落坑（織帶/花邊/橡根）,不接受
58,沒有彈力（織帶/花邊/橡根）,不接受
59,錯線（打棗/鳳眼/鈕門）,不接受
60,漏（打棗/鳳眼/鈕門）,不接受
61,散棗（打棗/鳳眼/鈕門）,不接受
62,跳線（打棗/鳳眼/鈕門）,不接受
63,落坑（打棗/鳳眼/鈕門）,不接受
64,高低（打棗/鳳眼/鈕門）,不接受
65,歪斜（打棗/鳳眼/鈕門）,不接受
66,鈕眼散口（打棗/鳳眼/鈕門）,不接受
67,位置差異（打棗/鳳眼/鈕門）,不接受
